Symbol,T(degC),P(bar),gibbs_energy(J/mol),entropy(J/K/mol),volume(J/bar),enthalpy(J/mol),heat_capacity_cp(J/K/mol)
Ag+,25.0,1.0,77096,73.450,NaN,105790,NaN
Ag+,25.0,5000.0,77096,73.450,NaN,105790,NaN
Ag(aq),25.0,1.0,36531,33.053,NaN,33700,25.350
Ag(aq),25.0,5000.0,41665,33.053,NaN,38834,25.350
H3PO4(aq),25.0,1.0,-1149367,161.910,4.698,-1294120,97.435
H3PO4(aq),25.0,5000.0,-1122688,174.673,5.648,-1263636,140.609
(UO2)3(PO4)2w4(cr),25.0,1.0,-6138963,NaN,23.842,NaN,NaN
(UO2)3(PO4)2w4(cr),25.0,5000.0,-5933071,NaN,23.842,NaN,NaN
(HgOH)3PO4(s),25.0,1.0,-1393317,NaN,NaN,NaN,NaN
(HgOH)3PO4(s),25.0,5000.0,-1362932,NaN,NaN,NaN,NaN
Ca+2,25.0,1.0,-552806,-56.200,-1.844,-543000,-30.938
Ca+2,25.0,5000.0,-557394,-50.411,-0.466,-545862,-24.048
CaCO3(aragonite),25.0,1.0,-1128197,89.644,3.415,-1207330,45.740
CaCO3(aragonite),25.0,5000.0,-1113822,114.971,3.415,-1185403,40.348
FeOOH(gamma),25.0,1.0,-479881,65.080,2.221,-549200,69.211
FeOOH(gamma),25.0,5000.0,-468777,65.080,2.221,-538096,69.211
CO2(g),25.0,1.0,-394373,213.785,2478.971,-393510,37.075
CO2(g),25.0,5000.0,-394373,213.785,0.496,-393510,37.075
Fe4(OH)8Clwn(s),25.0,1.0,-2164608,NaN,18.715,NaN,NaN
Fe4(OH)8Clwn(s),25.0,5000.0,-2019298,NaN,18.715,NaN,NaN
